@RELATION CornellMovies_v2

@ATTRIBUTE positive_adjectives_count REAL
@ATTRIBUTE negative_adjectives_count REAL
@ATTRIBUTE positive_to_negative_ratio_of_adjectives_count REAL
@ATTRIBUTE positive_to_negative_ratio_of_adverbs_count REAL
@ATTRIBUTE positive_to_negative_ratio_of_verbs_count REAL
@ATTRIBUTE positive_adverbs_count_and_bigrams_with_adverbs REAL
@ATTRIBUTE negative_adverbs_count_and_bigrams_with_adverbs REAL
@ATTRIBUTE positive_verbs_count_and_bigrams_with_verbs REAL
@ATTRIBUTE negative_verbs_count_and_bigrams_with_verbs REAL
@ATTRIBUTE positive_adjectives_count_and_bigrams_with_adjectives REAL
@ATTRIBUTE negative_adjectives_count_and_bigrams_with_adjectives REAL
@ATTRIBUTE positive_to_negative_ratio_of_adjectives_count_and_bigrams_with_adjectives REAL
@ATTRIBUTE positive_to_negative_ratio_of_adverbs_count_and_bigrams_with_adverbs REAL
@ATTRIBUTE positive_to_negative_ratio_of_verbs_count_and_bigrams_with_verbs REAL
@ATTRIBUTE selected_ngrams_count REAL
@ATTRIBUTE original_document_size REAL
@ATTRIBUTE positive_unigrams_and_bigrams_count REAL
@ATTRIBUTE negative_unigrams_and_bigrams_count REAL
@ATTRIBUTE percentage_of_negated_ngrams_by_document_size REAL
@ATTRIBUTE positive_to_negative_ratio_of_unigrams_and_bigrams_count REAL
@ATTRIBUTE positive_unigrams_bigrams_and_trigrams_count REAL
@ATTRIBUTE negative_unigrams_bigrams_and_trigrams_count REAL
@ATTRIBUTE positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_count REAL
@ATTRIBUTE positive_adjectives_sum REAL
@ATTRIBUTE negative_adjectives_sum REAL
@ATTRIBUTE positive_to_negative_ratio_of_adjectives_sum REAL
@ATTRIBUTE positive_to_negative_ratio_of_adverbs_sum REAL
@ATTRIBUTE positive_to_negative_ratio_of_verbs_sum REAL
@ATTRIBUTE sum_ratio_of_positive_adjectives REAL
@ATTRIBUTE sum_ratio_of_positive_adverbs REAL
@ATTRIBUTE sum_ratio_of_positive_verbs REAL
@ATTRIBUTE sum_ratio_of_negative_adjectives REAL
@ATTRIBUTE sum_ratio_of_negative_adverbs REAL
@ATTRIBUTE sum_ratio_of_negative_verbs REAL
@ATTRIBUTE positive_adverbs_sum_and_bigrams_with_adverbs REAL
@ATTRIBUTE negative_adverbs_sum_and_bigrams_with_adverbs REAL
@ATTRIBUTE positive_verbs_sum_and_bigrams_with_verbs REAL
@ATTRIBUTE negative_verbs_sum_and_bigrams_with_verbs REAL
@ATTRIBUTE positive_adjectives_sum_and_bigrams_with_adjectives REAL
@ATTRIBUTE negative_adjectives_sum_and_bigrams_with_adjectives REAL
@ATTRIBUTE positive_to_negative_ratio_of_adjectives_sum_and_bigrams_with_adjectives REAL
@ATTRIBUTE positive_to_negative_ratio_of_adverbs_sum_and_bigrams_with_adverbs REAL
@ATTRIBUTE positive_to_negative_ratio_of_verbs_sum_and_bigrams_with_verbs REAL
@ATTRIBUTE sum_ratio_of_positive_adjectives_and_bigrams_with_adjectives REAL
@ATTRIBUTE sum_ratio_of_negative_adjectives_and_bigrams_with_adjectives REAL
@ATTRIBUTE sum_ratio_of_positive_adverbs_and_bigrams_with_adverbs REAL
@ATTRIBUTE sum_ratio_of_negative_adverbs_and_bigrams_with_adverbs REAL
@ATTRIBUTE sum_ratio_of_positive_verbs_and_bigrams_with_verbs REAL
@ATTRIBUTE sum_ratio_of_negative_verbs_and_bigrams_with_verbs REAL
@ATTRIBUTE positive_unigrams_and_bigrams_sum REAL
@ATTRIBUTE negative_unigrams_and_bigrams_sum REAL
@ATTRIBUTE sum_ratio_of_positive_unigrams_and_bigrams REAL
@ATTRIBUTE sum_ratio_of_negative_unigrams_and_bigrams REAL
@ATTRIBUTE positive_to_negative_ratio_of_unigrams_and_bigrams_sum REAL
@ATTRIBUTE positive_unigrams_bigrams_and_trigrams_sum REAL
@ATTRIBUTE negative_unigrams_bigrams_and_trigrams_sum REAL
@ATTRIBUTE sum_ratio_of_positive_unigrams_bigrams_and_trigrams REAL
@ATTRIBUTE sum_ratio_of_negative_unigrams_bigrams_and_trigrams REAL
@ATTRIBUTE positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_sum REAL
@ATTRIBUTE max_rule_for_adjective REAL
@ATTRIBUTE max_rule_for_adverbs_and_bigrams_with_adverbs REAL
@ATTRIBUTE max_rule_for_verbs_and_bigrams_with_verbs REAL
@ATTRIBUTE max_rule_for_adjective_and_bigrams_with_adjectives REAL
@ATTRIBUTE max_rule_for_unigrams_and_bigrams REAL
@ATTRIBUTE max_rule_for_unigrams_bigrams_and_trigrams REAL
@ATTRIBUTE polarity {positive, negative}

@DATA
9,8,1,0,0,0,0,0,0,10,8,2,0,0,18,221,10,8,0.0,2,10,8,2,3.00777,-3.255165,-0.247395,0,0,0.0136098190045,0.0,0.0,-0.0147292533937,0.0,0.0,0,0,0,0,3.37243,-3.255165,0.117265,0,0,0.0152598642534,-0.0147292533937,0.0,0.0,0.0,0.0,3.37243,-3.255165,0.0152598642534,-0.0147292533937,0.117265,3.37243,-3.255165,0.0152598642534,-0.0147292533937,6.627595,0,-1,-1,0,0,0,positive
15,1,14,1,0,1,0,0,0,16,1,15,1,0,18,281,17,1,0.0,16,17,1,16,4.13818,-0.16512,3.97306,0.35327,0,0.0147266192171,0.0012571886121,0.0,-0.000587615658363,0.0,0.0,0.35327,0,0,0,5.0482,-0.16512,4.88308,0.35327,0,0.0179651245552,-0.000587615658363,0.0012571886121,0.0,0.0,0.0,5.40147,-0.16512,0.0192223131673,-0.000587615658363,5.23635,5.40147,-0.16512,0.0192223131673,-0.000587615658363,5.56659,1,1,-1,1,1,1,positive
23,8,15,1,0,3,2,0,0,29,12,17,1,0,46,493,32,14,0.00405679513185,18,32,14,18,6.074526,-2.617755,3.456771,-0.1154,0,0.0123215537525,0.00115425963489,0.0,-0.00530984787018,-0.001388336714,0.0,0.56905,-0.68445,0,0,7.406111,-4.31025175,3.09585925,-0.1154,0,0.0150225375254,-0.00874290415822,0.00115425963489,-0.001388336714,0.0,0.0,7.975161,-4.99470175,0.0161767971602,-0.0101312408722,2.98045925,7.975161,-4.99470175,0.0161767971602,-0.0101312408722,12.96986275,0,0,-1,0,0,0,positive
22,5,17,-1,0,0,2,0,0,24,5,19,-2,0,31,289,24,7,0.00346020761246,17,24,7,17,6.0292,-1.90929,4.11991,-0.415125,0,0.020862283737,0.0,0.0,-0.00660653979239,-0.00143641868512,0.0,0,-0.524335,0,0,7.50193,-1.90929,5.59264,-0.524335,0,0.0259582352941,-0.00660653979239,0.0,-0.00181430795848,0.0,0.0,7.50193,-2.433625,0.0259582352941,-0.00842084775087,5.068305,7.50193,-2.433625,0.0259582352941,-0.00842084775087,9.935555,0,0,-1,0,0,0,positive
12,3,9,1,0,1,0,0,0,15,3,12,1,0,19,165,16,3,0.00606060606061,13,16,3,13,4.49657666667,-0.52878,3.96779666667,0.12208,0,0.027251979798,0.000739878787879,0.0,-0.00320472727273,0.0,0.0,0.12208,0,0,0,5.055,-0.52878,4.52622,0.12208,0,0.0306363636364,-0.00320472727273,0.000739878787879,0.0,0.0,0.0,5.17708,-0.52878,0.0313762424242,-0.00320472727273,4.6483,5.17708,-0.52878,0.0313762424242,-0.00320472727273,5.70586,1,1,-1,1,1,1,positive
34,18,16,-2,0,3,4,0,0,41,29,12,-1,0,77,739,44,33,0.0135317997294,11,44,33,11,7.57320833333,-6.2727975,1.30041083333,-0.38439,0,0.0102479138475,0.000163538565629,0.0,-0.00848822395129,-0.000683687415426,0.0,0.544715,-0.505245,0,0,9.73469083333,-9.36661208333,0.36807875,0.03947,0,0.0131727886784,-0.0126747118854,0.000737097428958,-0.000683687415426,0.0,0.0,10.2794058333,-9.87185708333,0.0139098861074,-0.0133583993009,0.40754875,10.2794058333,-9.87185708333,0.0139098861074,-0.0133583993009,20.1512629167,0,1,-1,0,0,0,negative
8,4,4,0,0,1,0,0,0,9,7,2,1,0,17,173,10,7,0.0,3,10,7,3,2.9223,-0.32643,2.59587,0,0,0.0168919075145,0.0,0.0,-0.00188687861272,0.0,0.0,0.35327,0,0,0,3.14481,-1.942935,1.201875,0.35327,0,0.0181780924855,-0.0112308381503,0.00204202312139,0.0,0.0,0.0,3.49808,-1.942935,0.0202201156069,-0.0112308381503,1.555145,3.49808,-1.942935,0.0202201156069,-0.0112308381503,5.441015,1,1,-1,0,0,0,positive
9,7,2,0,0,1,1,0,0,11,10,1,0,0,23,304,12,11,0.0,1,12,11,1,3.52544,-3.63177,-0.10633,-0.128855,0,0.0115968421053,0.000941677631579,0.0,-0.0119466118421,-0.00136554276316,0.0,0.28627,-0.415125,0,0,4.5748275,-5.293275,-0.7184475,-0.128855,0,0.0150487746711,-0.0174120888158,0.000941677631579,-0.00136554276316,0.0,0.0,4.8610975,-5.7084,0.0159904523026,-0.0187776315789,-0.8473025,4.8610975,-5.7084,0.0159904523026,-0.0187776315789,10.5694975,0,0,-1,0,0,0,positive
13,7,6,1,0,1,0,0,0,14,8,6,1,0,23,259,15,8,0.003861003861,7,15,8,7,4.644846,-2.332215,2.312631,0.39079,0,0.0179337683398,0.00150884169884,0.0,-0.00900469111969,0.0,0.0,0.39079,0,0,0,4.70036,-2.427145,2.273215,0.39079,0,0.0181481081081,-0.00937121621622,0.00150884169884,0.0,0.0,0.0,5.09115,-2.427145,0.0196569498069,-0.00937121621622,2.664005,5.09115,-2.427145,0.0196569498069,-0.00937121621622,7.518295,0,1,-1,0,0,0,positive
51,21,30,2,0,4,3,0,0,60,30,30,1,0,97,1160,64,33,0.00689655172414,31,64,33,31,15.7655116667,-6.18234,9.58317166667,0.089485,0,0.0135909583333,0.000806775862069,0.0,-0.00532960344828,-0.00072963362069,0.0,0.93586,-1.2968,0,0,18.7400141667,-9.18289416667,9.55712,-0.36094,0,0.0161551846264,-0.00791628807471,0.000806775862069,-0.00111793103448,0.0,0.0,19.6758741667,-10.4796941667,0.0169619604885,-0.0090342191092,9.19618,19.6758741667,-10.4796941667,0.0169619604885,-0.0090342191092,30.1555683333,0,1,-1,0,0,0,positive
